City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,West Bay,19.3667,-81.4167,32.25,70,20,4.12,KY,2021-08-05 19:51:51
256,Fairbanks,64.8378,-147.7164,24.01,56,1,2.06,US,2021-08-05 19:52:03
257,Mingaora,34.7758,72.3625,22.94,80,37,2.11,PK,2021-08-05 19:52:04
258,Yaan,7.3833,8.5667,22.33,95,20,0.99,NG,2021-08-05 19:52:04
259,Malabo,3.75,8.7833,24.92,94,40,3.09,GQ,2021-08-05 19:51:51
260,Kontagora,10.3999,5.4695,22.9,91,100,1.81,NG,2021-08-05 19:52:04
261,Vidim,56.4088,103.1106,12.0,89,28,1.47,RU,2021-08-05 19:52:05
262,Caravelas,-17.7125,-39.2481,21.95,70,99,4.86,BR,2021-08-05 19:50:09
263,Nanga Eboko,4.6833,12.3667,21.32,89,99,1.23,CM,2021-08-05 19:52:05
264,Coquimbo,-29.9533,-71.3436,13.85,76,75,4.12,CL,2021-08-05 19:50:12
265,Itaueira,-7.6033,-43.0256,32.46,24,42,3.57,BR,2021-08-05 19:52:05
266,Bethel,41.3712,-73.414,27.42,74,90,3.6,US,2021-08-05 19:52:06
267,Cullman,34.1748,-86.8436,31.26,51,40,1.54,US,2021-08-05 19:49:08
268,Lorengau,-2.0226,147.2712,26.67,82,100,3.14,PG,2021-08-05 19:52:06
269,San Cristobal,7.7669,-72.225,27.1,56,36,3.54,VE,2021-08-05 19:48:08
270,Kodinsk,58.6881,99.1844,14.66,64,9,1.73,RU,2021-08-05 19:52:06
271,Chingola,-12.529,27.8838,16.7,31,0,1.54,ZM,2021-08-05 19:52:07
272,Autazes,-3.5797,-59.1306,34.35,38,68,1.37,BR,2021-08-05 19:52:07
273,Luanda,-8.8368,13.2343,21.97,89,0,4.6,AO,2021-08-05 19:48:15
274,Isla Mujeres,21.2311,-86.731,32.87,67,13,4.87,MX,2021-08-05 19:48:59
275,Port Shepstone,-30.7414,30.455,18.01,84,5,3.66,ZA,2021-08-05 19:52:07
276,Norwood,42.1945,-71.1995,21.62,90,90,3.09,US,2021-08-05 19:52:08
277,Slave Lake,55.2834,-114.769,26.99,50,1,2.57,CA,2021-08-05 19:52:08
278,Kaitangata,-46.2817,169.8464,7.18,86,71,2.23,NZ,2021-08-05 19:50:10
279,Bilma,18.6853,12.9164,37.31,16,7,2.15,NE,2021-08-05 19:52:08
280,Wattegama,6.7989,81.4808,25.22,72,100,3.34,LK,2021-08-05 19:52:09
281,Le Pradet,43.1066,6.0172,24.33,66,0,10.8,FR,2021-08-05 19:52:09
282,La Ronge,55.1001,-105.2842,22.12,43,75,2.57,CA,2021-08-05 19:52:09
283,Portland,45.5234,-122.6762,29.87,49,75,0.89,US,2021-08-05 19:49:15
284,Sakakah,29.9697,40.2064,35.76,13,0,4.63,SA,2021-08-05 19:52:10
285,Aripuana,-9.1667,-60.6333,35.5,20,84,1.17,BR,2021-08-05 19:52:10
286,Tuy Hoa,13.0833,109.3,28.88,68,100,7.42,VN,2021-08-05 19:52:10
287,Tura,25.5198,90.2201,24.44,93,100,0.97,IN,2021-08-05 19:52:10
288,Rocha,-34.4833,-54.3333,15.82,85,100,4.1,UY,2021-08-05 19:49:43
289,Okha,53.5739,142.9478,12.56,87,100,6.18,RU,2021-08-05 19:50:40
290,Vila Velha,-20.3297,-40.2925,21.97,78,75,3.6,BR,2021-08-05 19:49:36
291,Torbay,47.6666,-52.7314,26.05,43,75,4.12,CA,2021-08-05 19:52:11
292,Monte Santo,-10.4378,-39.3328,23.77,54,92,3.61,BR,2021-08-05 19:52:11
293,Malpe,13.35,74.7167,25.61,89,71,5.01,IN,2021-08-05 19:52:11
