,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Brokopondo,SR,4.75,-55.1667,26.25,81,100,2.51,overcast clouds
310,Vieques,PR,18.425,-65.8329,28.28,89,20,2.57,few clouds
311,Cedar City,US,37.6775,-113.0619,25.54,11,1,4.63,clear sky
312,Tapes,BR,-30.6733,-51.3958,16.0,85,1,2.23,clear sky
313,Shu,KZ,43.5983,73.7614,28.79,30,1,6.13,clear sky
314,Rassvet,RU,46.8333,40.75,22.91,92,97,0.8,light rain
315,Montepuez,MZ,-13.1256,38.9997,15.56,82,0,1.94,clear sky
316,Mamlyutka,KZ,54.9375,68.5394,19.01,85,6,5.76,clear sky
317,Cap Malheureux,MU,-19.9842,57.6142,20.27,89,41,1.34,light rain
318,Mackay,AU,-21.15,149.2,22.8,63,67,7.21,broken clouds
319,Korla,CN,41.7597,86.1469,28.95,30,22,5.87,few clouds
320,Najran,SA,17.4924,44.1277,26.36,40,69,2.33,broken clouds
321,Gamba,GA,-2.65,10.0,22.65,85,83,2.29,broken clouds
322,Aljezur,PT,37.3191,-8.8033,14.63,89,0,4.51,clear sky
323,Kamina,CD,-8.7386,24.9906,15.68,37,2,1.41,clear sky
324,Praia,CV,14.9215,-23.5087,26.3,83,40,1.03,scattered clouds
325,Erzin,TR,36.9559,36.2,25.4,82,0,0.73,clear sky
326,Padang,ID,-0.9492,100.3543,29.03,66,93,1.05,overcast clouds
327,Zhangjiakou,CN,40.81,114.8794,25.44,52,36,1.53,scattered clouds
328,Ransang,PH,8.9603,117.5828,30.12,68,88,3.62,overcast clouds
329,Verkhnyaya Inta,RU,65.9811,60.3094,8.76,96,100,2.35,overcast clouds
330,Port Hardy,CA,50.6996,-127.4199,16.1,82,90,5.14,overcast clouds
331,Acapulco,MX,16.8634,-99.8901,26.43,84,42,2.64,scattered clouds
332,Srednekolymsk,RU,67.45,153.6833,22.47,34,10,2.03,clear sky
333,Marijampole,LT,54.5667,23.35,14.04,92,95,3.23,overcast clouds
334,Iskateley,RU,67.6803,53.1512,10.67,78,6,0.37,clear sky
335,Belmonte,BR,-15.8631,-38.8828,20.28,83,52,3.54,broken clouds
336,Souillac,MU,-20.5167,57.5167,20.21,94,20,2.57,light rain
337,Arbazh,RU,57.6804,48.3065,17.24,67,100,3.96,overcast clouds
338,Esso,RU,55.9333,158.7,13.62,58,95,1.32,light rain
339,Nalut,LY,30.3333,10.85,29.5,26,0,6.07,clear sky
340,Hornepayne,CA,49.2138,-84.7705,16.94,99,100,2.69,overcast clouds
341,Riyadh,SA,24.6877,46.7219,32.03,23,0,1.54,clear sky
342,Laredo,US,27.5064,-99.5075,32.0,62,1,9.26,clear sky
343,Wadi Maliz,TN,36.4681,8.5495,24.81,50,0,0.99,clear sky
344,Inhambane,MZ,-23.865,35.3833,16.8,74,0,2.44,clear sky
345,Naze,JP,28.3667,129.4833,28.51,77,1,6.35,clear sky
346,Teruel,ES,40.6667,-0.6667,15.98,92,12,2.51,few clouds
347,Parfenyevo,RU,58.484,43.4088,18.1,86,36,1.5,scattered clouds
